student_id,attendance,internal1,internal2,assignments,study_hours,previous_marks,final_score
S1000,82.45,52.37,49.79,67.13,0.14,95.49,55.48
S1001,72.93,51.84,56.5,69.35,10.21,60.9,62.05
S1002,84.72,27.68,51.25,71.29,3.86,75.96,49.34
S1003,97.85,54.06,63.99,88.94,4.87,54.16,68.4
S1004,71.49,73.19,83.55,55.06,2.84,47.44,60.26
S1005,71.49,37.06,48.12,53.07,0.49,61.68,41.95
S1006,98.69,78.87,80.01,94.73,0.08,41.84,79.62
S1007,86.51,68.78,47.93,60.75,4.8,49.06,66.47
S1008,67.96,46.78,46.74,44.74,1.21,75.05,44.7
S1009,83.14,57.45,76.73,60.3,0.74,56.27,61.36
S1010,68.05,88.77,78.59,63.4,1.98,77.08,68.96
S1011,68.01,73.2,77.33,100.0,1.31,70.09,58.89
S1012,78.63,60.16,38.32,88.5,2.53,96.47,55.16
S1013,46.3,55.72,53.61,92.95,1.59,73.91,63.29
S1014,49.13,61.38,76.81,86.4,2.87,83.94,56.32
S1015,66.57,50.79,62.75,88.92,4.61,71.83,69.72
S1016,59.81,22.11,42.67,56.24,0.52,70.29,35.56
S1017,79.71,96.76,70.25,66.03,0.96,84.8,76.15
S1018,61.38,62.8,49.13,50.2,1.38,76.37,51.72
S1019,53.82,67.17,94.3,65.79,7.85,68.57,65.37
S1020,96.98,58.96,89.81,83.68,1.09,68.5,85.08
S1021,71.61,46.77,72.87,72.69,1.15,74.15,53.2
S1022,76.01,56.65,86.5,96.23,2.54,53.59,72.27
S1023,53.63,31.21,63.17,47.17,1.3,52.87,48.62
S1024,66.83,100.0,75.78,80.0,7.25,89.23,96.54
S1025,76.66,37.78,88.6,45.03,5.4,96.7,57.1
S1026,57.74,41.42,66.42,71.88,1.73,49.21,48.81
S1027,80.64,52.08,57.41,84.81,2.48,53.63,66.28
S1028,65.99,83.19,31.32,65.71,0.14,84.42,56.57
S1029,70.62,60.26,60.5,81.02,2.86,74.07,60.02
S1030,65.97,37.75,76.82,50.81,2.95,76.5,61.9
S1031,100.0,82.58,79.02,36.73,1.07,80.24,69.79
S1032,74.8,73.16,71.08,81.14,0.6,60.91,60.76
S1033,59.13,69.69,52.26,100.0,5.92,70.61,68.55
S1034,87.34,72.88,26.42,50.08,1.34,69.29,59.05
S1035,56.69,100.0,53.09,94.44,2.55,50.41,63.39
S1036,78.13,99.33,56.52,70.87,0.08,70.36,66.25
S1037,45.6,47.64,56.37,43.29,1.28,86.04,42.45
S1038,55.08,89.23,73.13,47.37,4.08,59.32,65.67
S1039,77.95,66.9,97.74,70.32,1.18,67.59,68.15
S1040,86.08,68.98,64.22,61.91,2.22,68.51,60.79
S1041,77.57,29.54,58.1,43.74,0.57,60.16,42.07
S1042,73.27,56.93,57.33,36.12,1.29,76.51,57.24
S1043,70.48,45.37,64.24,53.07,6.3,53.44,52.95
S1044,52.82,74.91,47.09,73.88,2.01,87.65,46.38
S1045,64.2,79.28,64.16,69.87,5.57,75.65,58.35
S1046,68.09,22.66,70.11,59.98,5.58,49.07,50.87
S1047,90.86,59.6,65.77,74.04,6.92,93.87,70.51
S1048,80.15,80.19,70.24,90.8,5.42,67.86,71.78
S1049,48.55,56.64,69.81,77.88,0.01,52.71,52.09
S1050,79.86,73.12,30.11,67.57,6.52,83.78,53.53
S1051,69.22,66.32,73.46,88.56,0.35,73.41,60.82
S1052,64.85,66.15,49.92,50.8,0.1,34.88,57.69
S1053,84.18,55.12,42.27,65.5,0.14,56.06,62.24
S1054,90.46,38.1,42.12,65.98,1.03,69.74,59.51
S1055,88.97,39.81,69.8,45.26,2.33,28.29,57.88
S1056,62.41,72.77,57.99,61.6,1.24,66.45,63.69
S1057,70.36,60.35,31.72,28.5,0.06,67.69,40.36
S1058,79.97,57.51,70.6,100.0,1.55,44.88,66.08
S1059,89.63,52.37,36.09,51.25,1.4,69.6,48.73
S1060,67.81,54.51,64.52,100.0,3.39,65.13,57.35
S1061,72.22,78.84,66.29,70.76,0.79,44.75,64.77
S1062,58.4,53.97,77.94,81.3,0.59,80.63,67.22
S1063,57.06,35.86,94.07,60.22,0.71,79.24,56.4
S1064,87.19,73.39,37.44,74.16,0.87,60.07,71.42
S1065,95.34,56.31,61.06,83.01,2.19,61.62,68.29
S1066,73.92,60.57,57.03,83.29,1.53,77.35,58.33
S1067,90.05,88.94,69.81,85.5,0.99,61.59,67.22
S1068,80.42,59.63,65.88,62.63,1.13,32.17,64.49
S1069,65.32,65.21,55.65,60.39,1.11,73.28,58.22
S1070,80.42,38.78,54.06,38.12,8.62,51.17,57.87
S1071,98.07,56.05,41.9,80.46,0.64,58.37,46.39
S1072,74.46,70.97,79.78,91.65,4.09,89.78,75.0
S1073,98.47,32.0,70.27,100.0,2.96,62.72,64.75
S1074,35.7,63.62,78.52,76.1,0.01,65.03,46.92
S1075,87.33,61.81,56.41,54.67,11.97,73.66,66.65
S1076,76.31,60.74,50.18,36.06,3.39,73.59,62.27
S1077,70.51,78.67,42.59,90.83,2.75,49.37,75.42
S1078,76.38,66.02,68.46,34.07,1.25,63.97,59.58
S1079,45.19,86.61,43.28,63.19,1.94,65.61,50.03
S1080,71.7,42.12,95.28,65.51,0.7,69.62,57.93
S1081,80.36,62.45,38.46,68.61,0.09,69.92,63.38
S1082,97.17,61.52,66.93,70.72,4.34,100.0,66.78
S1083,67.23,40.75,90.2,72.76,5.44,45.01,64.87
S1084,62.87,77.21,72.78,21.69,0.43,81.66,59.11
S1085,67.47,100.0,65.16,70.29,3.71,85.12,71.91
S1086,88.73,59.69,44.57,25.41,3.24,73.38,46.4
S1087,79.93,69.09,37.13,84.64,0.47,53.94,57.41
S1088,67.05,61.52,75.86,58.9,1.31,93.3,54.31
S1089,82.7,47.16,89.11,26.86,1.32,27.74,51.86
S1090,76.46,27.23,54.1,53.72,3.42,53.38,55.99
S1091,89.53,47.3,41.5,58.6,4.36,84.92,66.99
S1092,64.47,34.94,17.75,93.81,0.24,58.71,48.0
S1093,70.09,90.67,44.35,73.93,1.99,92.14,62.4
S1094,69.12,57.93,59.95,76.89,3.44,39.3,67.57
S1095,53.05,53.77,90.78,93.62,3.7,46.09,59.18
S1096,79.44,76.0,74.12,68.08,0.38,55.96,59.07
S1097,78.92,39.81,67.49,85.08,1.79,72.1,66.23
S1098,75.08,46.2,54.8,83.68,4.68,61.23,62.73
S1099,71.48,61.23,51.5,44.27,0.92,56.66,49.93
S1100,53.77,78.52,87.3,99.46,1.33,89.15,71.71
S1101,68.69,69.03,65.61,41.59,3.92,90.73,64.02
S1102,69.86,64.47,24.15,88.35,0.22,57.96,55.57
S1103,62.97,61.41,49.88,39.66,4.71,35.93,52.65
S1104,72.58,67.2,46.55,82.02,0.89,28.32,53.45
S1105,81.06,63.63,52.17,100.0,0.0,69.07,68.49
S1106,100.0,41.46,72.13,65.74,0.64,76.15,65.62
S1107,77.62,60.83,60.07,64.87,0.23,66.07,57.2
S1108,78.86,40.67,60.62,82.21,0.23,63.79,57.33
S1109,73.88,61.46,85.64,63.41,2.83,51.32,63.36
S1110,46.22,51.35,49.46,100.0,0.58,76.13,45.95
S1111,74.6,100.0,95.56,73.84,6.55,93.53,77.65
S1112,75.9,59.28,49.92,63.6,1.74,27.31,54.35
S1113,100.0,34.72,63.61,59.19,1.48,63.68,52.55
S1114,72.11,57.58,56.94,51.34,1.37,48.5,50.45
S1115,79.52,69.35,64.22,57.44,2.83,39.66,74.9
S1116,74.48,90.12,70.0,62.99,1.44,45.79,58.62
S1117,57.47,49.39,69.81,60.25,0.33,71.45,52.25
S1118,92.14,31.52,48.44,56.84,5.09,71.88,52.29
S1119,86.28,74.7,41.79,100.0,1.34,89.82,68.82
S1120,86.87,35.15,100.0,49.4,0.18,65.15,57.87
